CourseCode,CourseName,CourseCredit,Type,Courses,Applicable forDepartment(s),Applicable forprogram(s),InstructorConsent,Remark,Qualifyingdiscipline
BS 402,Cell Biology,6,prerequiste,BT 251,All Department,"- 5 Year Integrated M.Sc.
- B.Tech.
- Dual Degree Programme
- Four Year B.S.
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- Preparatory Course
",Not Required,,
BS 402,Cell Biology,6,prerequiste,,All Department,"- 2 Yr M.Sc
- D.I.I.T (Exit Degree)
- Dual Degree (M.Phil. + Ph.D.)
- EMBA
- MBA
- M.Des
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. By Research (Exit)
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech. + Ph.D. Dual Degree
- Ph.D.
- Visiting Students
",Required,,
BS 404,Metabolism and Bioenergetics,6,prerequiste,,All Department,"- 2 Yr M.Sc
- D.I.I.T (Exit Degree)
- Dual Degree (M.Phil. + Ph.D.)
- EMBA
- MBA
- M.Des
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. By Research (Exit)
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech. + Ph.D. Dual Degree
- Ph.D.
- Visiting Students
",Required,,
BS 404,Metabolism and Bioenergetics,6,prerequiste,BT 251,All Department,"- 5 Year Integrated M.Sc.
- B.Tech.
- Dual Degree Programme
- Four Year B.S.
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- Preparatory Course
",Not Required,,
BS 600,Molecular Cell Signalling,6,prerequiste,,All Department,"- 2 Yr M.Sc
- D.I.I.T (Exit Degree)
- Dual Degree (M.Phil. + Ph.D.)
- EMBA
- MBA
- M.Des
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. By Research (Exit)
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech. + Ph.D. Dual Degree
- Ph.D.
- Visiting Students
",Required,,
BS 600,Molecular Cell Signalling,6,prerequiste,BT 251,All Department,"- 5 Year Integrated M.Sc.
- B.Tech.
- Dual Degree Programme
- Four Year B.S.
- M.Sc. + M.Tech. Dual Degree
- M.Sc. & Ph.D. Dual Degree
- Preparatory Course
",Not Required,,
BS 602,Topics in Biotechnology II,6,prerequiste,,All Department,"- 2 Yr M.Sc
- D.I.I.T (Exit Degree)
- Dual Degree (M.Phil. + Ph.D.)
- EMBA
- MBA
- M.Des
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. By Research (Exit)
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech. + Ph.D. Dual Degree
- Ph.D.
- Visiting Students
",Required,,
BS 608,Protein Crystallography,6,prerequiste,,All Department,"- 2 Yr M.Sc
- D.I.I.T (Exit Degree)
- Dual Degree (M.Phil. + Ph.D.)
- EMBA
- MBA
- M.Des
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. By Research (Exit)
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech. + Ph.D. Dual Degree
- Ph.D.
- Visiting Students
",Required,,
BS 629,Topics in Evolution,6,prerequiste,,All Department,"- 2 Yr M.Sc
- D.I.I.T (Exit Degree)
- Dual Degree (M.Phil. + Ph.D.)
- EMBA
- MBA
- M.Des
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. By Research (Exit)
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech. + Ph.D. Dual Degree
- Ph.D.
- Visiting Students
",Required,,
BT 808,Principles of Biomolecular Interactions and Recognition,6,prerequiste,,All Department,"- 2 Yr M.Sc
- D.I.I.T (Exit Degree)
- Dual Degree (M.Phil. + Ph.D.)
- EMBA
- MBA
- M.Des
- M.Phil.
- M.Phil. (Exit Degree)
- M.S. By Research (Exit)
- M.S. (Exit Degree)
- M.Tech
- M.Tech (Exit Degree)
- M.Tech. + Ph.D. Dual Degree
- Ph.D.
- Visiting Students
",Required,,
CE 201,Solid Mechanics I,8,prerequiste,CE 102,Self Department (Department offering this Course),"- B.Tech.
",Not Required,,
