Course Code,Course Name,Instructor Name
BM 797,I Stage Project ,
BMP602,II stage project ,
BMP603,III stage project ,
BT 251,Molecular cell Biology ,
BT 402,Introduction to Molecular Biology ,
BT 404,Biomolecular Spectroscopy ,
BT 412,Molecular Biophysics ,
BT 414,Molecular Biology ,
BT 415,Analytical Biochemistry ,
BT 417,Catalysis and Mechanism ,
BT 418,Molecular Genetics ,
BT 419,Chemistry of Biomolecules ,
BT 420,Catalysis and Mechanisms ,
BT 421,Fundamentals of Microbiology ,
BT 453,Biochemistry Laboratory ,
BT 455,Computers in Biology I ,
BT 456,Biophysics Laboratory ,
BT 457,Computers in Biology ,
BT 458,Microbiology Laboratory ,
BT 459,Biochemistry Laboratory ,
BT 460,Biophysics Laboratory ,
BT 462,Microbiology Laboratory ,
BT 501,Molecular Enzymology ,
BT 503,Genetic Engineering ,
BT 515,Metabolism and Bioenergetics ,
BT 517,Molecular Immunology ,
BT 518,Molecular Biophysics ,
BT 520,Transgenic Engineering ,
BT 522,Cell Biology ,
BT 553,Genetic Engineering Laboratory ,
BT 557,Bioinformatics ,
BT 559,Genetic Engineering Laboratory ,
BT 593,Project Stage I ,
BT 594,Project Stage II ,
BT 596,Project Stage II ,
BT 601,Biopolymer Synthesis ,
BT 602,Molecular Cell Signalling ,
BT 603,Principles of Drug Action ,
BT 604,Principles of Drug Design & Discovery ,
BT 606,Modern NMR: Theory & Applications ,
BT 607,Topics in Biotechnology  I ,
BT 608,Topics in Biotechnology II ,
BT 609,Applied Genetic Engineering ,
BT 610,Perspectives in Biotechnology ,
BT 611,Immuno Technology ,
BT 612,Industrial Microbiology ,
BT 614,Diffraction Techniques in Biology ,
BT 616,Biological Enquiry:  History and Philosophy ,
BT 651,Drug Design Laboratory I ,
BT 652,Drug Design Laboratory II ,
BT 653,Cell Technology Laboratory I ,
BT 654,Cell Technology Laboratory II ,
BT 701,Research Proposal ,
BT 801,Advanced Biochemistry ,
BT 802,Molecular Cell Biology ,
BT 803,Biophysical Chemistry ,
BT 804,Biopolymers ,
BT 806,Cell Surface Structure ,
BT 807,Computational methods in molecular biology ,
BT 808,Principles of Biomolecular Interactions and Recognition ,
BTS801,Seminar ,
BTS802,Seminar ,
CL 101,Introduction to Chemical Engineering ,
CL 102,Material and Energy Balances ,
CL 152,Introduction to Chemical Engg. ,
CL 202,Introduction to Data Analysis ,ManibhushanSarika Mehra
CL 203,Introduction to Transport Phenomena ,
CL 205,AI and Data Science ,ManibhushanSarika Mehra
CL 207,Chemical Engineering Thermodynamics ,Abhijit ChatterjeeGuruswamy  Kumaraswamy
CL 208,Chemical Reaction Engineering ,
CL 210,Separation Processes ,
CL 231,Solid Mechanics ,
CL 232,Chemical Engineering Lab. I ,
CL 238,Introduction to Numerical Analysis ,
CL 242,Fundamentals of Heat and Mass Transfer ,
